t,x,y
0,0.003608553,0.072171068
0.033588889,0.005689653,0.072322454
0.067177778,0.007588272,0.071997302
0.100766667,0.010291556,0.072275481
0.134355556,0.013054602,0.071894023
0.167944444,0.016913153,0.071690416
0.201533333,0.021307863,0.07196664
0.235122222,0.026040778,0.072326127
0.268711111,0.030495128,0.071839526
0.3023,0.036223003,0.07227977
0.335888889,0.04128068,0.072874295
0.369477778,0.048838321,0.072131492
0.403066667,0.056466379,0.071288541
0.436655556,0.064918993,0.071067026
0.470244444,0.072334994,0.071195927
0.503833333,0.081503567,0.070698521
0.537422222,0.09039803,0.069971247
0.571011111,0.100488884,0.068874927
0.6046,0.110892528,0.06756888
0.638188889,0.121757714,0.067266762
0.671777778,0.132397878,0.067899707
0.705366667,0.14916922,0.064214557
0.738955556,0.157868997,0.064732061
0.772544444,0.17141674,0.063838047
0.806133333,0.184377172,0.063569255
0.839722222,0.197473017,0.062610112
0.873311111,0.211830966,0.060361849
0.9069,0.227172714,0.05978814
0.940488889,0.241482429,0.059184549
0.974077778,0.260138357,0.057315623
1.007666667,0.27416821,0.056307591
1.041255556,0.290608916,0.055206077
1.074844444,0.305958801,0.054523735
1.108433333,0.321595298,0.053852803
1.142133333,0.339945225,0.052339413
1.175722222,0.357291813,0.051759075
1.209311111,0.378163288,0.050040755
1.2429,0.399217165,0.047895321
1.276488889,0.413483991,0.048454877
1.310077778,0.43552743,0.046809405
1.343666667,0.453028855,0.045560186
1.377255556,0.474061628,0.044919623
1.410844444,0.493975911,0.043913967
1.444433333,0.514688661,0.041775717
1.478022222,0.536448903,0.041596236
1.511611111,0.556287646,0.040458119
1.5452,0.578361948,0.039290326
1.578788889,0.602194201,0.038574046
1.612377778,0.622779022,0.035830268
1.645966667,0.64636413,0.035410282
1.679555556,0.668935073,0.033016278
1.713144444,0.692609704,0.03241333
1.746733333,0.714960821,0.031812426
1.780322222,0.740089509,0.029591257
1.813911111,0.76224902,0.029188534
1.8475,0.788374697,0.028073954
1.881088889,0.811440613,0.026720766
1.914677778,0.836570675,0.026105673
1.948266667,0.862271733,0.023944105
1.981855556,0.8866837,0.023454873
2.015444444,0.914127183,0.021092968
2.049033333,0.937565349,0.020660091
2.082622222,0.964644036,0.018464856
2.116211111,0.990476113,0.018073758
2.1498,1.019294929,0.015355836
2.183388889,1.044594495,0.014134531
2.216977778,1.072837652,0.012690486
